text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Qdoba_created
Chipotle &gt;&gt;&gt;,FALSE,6,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_JustJordann_,4,FALSE,FALSE,NA,NA,4/23/2015 23:39
RT @nbcwashington: #Chipotle delivery is coming to D.C.! http://t.co/7hc6JFMFrb,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dperei91,48,TRUE,FALSE,NA,NA,4/23/2015 23:38
@DNLNOA chipotle not raw g,FALSE,0,DNLNOA,23-Apr-15,FALSE,5.91E+17,5.91E+17,242998737,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",infamousgary,0,FALSE,FALSE,NA,NA,4/23/2015 23:38
RT @ClassyCatholic: Chipotle delivery is just further proof that God loves us and wants us to be happy. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SydneyMaurer18,39,TRUE,FALSE,NA,NA,4/23/2015 23:38
RT @barstoolsports: Good news: Chipotle is offering delivery! Bad news: It's expensive as balls http://t.co/2Y74XavBFn http://t.co/CAjeckss…,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",djcigtits,93,TRUE,FALSE,NA,NA,4/23/2015 23:38
RT @AndreaRussett: And on the 8th day..... God created Chipotle,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lauren_newstrom,2024,TRUE,FALSE,NA,NA,4/23/2015 23:35
I just want Chipotle already :(,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",igobyjazz,0,FALSE,FALSE,NA,NA,4/23/2015 23:34
"I need summer, my license, and chipotle<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IvyCorn,0,FALSE,FALSE,NA,NA,4/23/2015 23:34
"RT @TheKatieduke: If chipotle starts delivering ....... Oh goodness.....
*drops mic http://t.co/l0SH2I0I9g",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1AnonRNinem,4,TRUE,FALSE,NA,NA,4/23/2015 23:33
RT @_creaseWORK: Niggas bouta be robbing chipotle deliverers SMH.,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ShabazzYouNasty,2,TRUE,FALSE,NA,NA,4/23/2015 23:30
@StephenLoverde this may solve your problems http://t.co/RUJmmKN1Al,FALSE,0,StephenLoverde,23-Apr-15,FALSE,5.91E+17,5.91E+17,839117624,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jeffsav16,0,FALSE,FALSE,NA,NA,4/23/2015 23:28
RT @benmadermusic: THEY FUCKING DID IT!!! AMERICA CHIPOTLE DELIVERS!!!,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",trulyjkilla,49,TRUE,FALSE,NA,NA,4/23/2015 23:26
RT @emmieahnn: SHE BOUGHT ME CHIPOTLE OMG @jjconchas24,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jjconchas24,1,TRUE,FALSE,NA,NA,4/23/2015 23:22
Chipotle delivering scares me. That's that food you gotta eat while it's still hot otherwise it's trash,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CPSKIKSGR,0,FALSE,FALSE,NA,NA,4/23/2015 23:21
First time @ Chipotle,FALSE,2,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Justin_Howard3,0,FALSE,FALSE,NA,NA,4/23/2015 23:18
When do I not want chipotle... That's the real question,FALSE,1,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AReljicc,0,FALSE,FALSE,NA,NA,4/23/2015 23:18
RT @KennyDucey: This lady just tried to cut the line at Chipotle. I Mutombo'd her.,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",go9ers2786,6,TRUE,FALSE,NA,NA,4/23/2015 23:17
Meh RT @TerrellChuggs: Lord RT @nbcwashington: #Chipotle delivery is coming to D.C.! http://t.co/7zzb8mWXgs,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",PrinceHAK33M,0,FALSE,FALSE,NA,NA,4/23/2015 23:16
RT @eonline: GAMECHANGER! Chipotle just started offering delivery: <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> http://t.co/OCJUmZ2Fgf,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ragnarok12,547,TRUE,FALSE,NA,NA,4/23/2015 23:15
"Our chipotle won't be delivering, they signed a deal with PostMates which doesn't exist in St. Joe, sorry to be the bearer of bad news.",FALSE,4,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PraterAde_,1,FALSE,FALSE,NA,NA,4/23/2015 23:15
Chipotle Just Started Delivering Burritos in 67 U.S. Cities http://t.co/lIAt0HgHdd via @grubstreet,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EDMRepublicMag,0,FALSE,FALSE,NA,NA,4/23/2015 23:15
"Chipotle delivers now, WOW IM ACTUALLY SO HYPE.",FALSE,6,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sdonahuexo,2,FALSE,FALSE,NA,NA,4/23/2015 23:14
"RT @DMVFollowers: BREAKING: Chipotle has announced that they will be delivering in 67 cities including Washington, D.C.",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SlowJamGoodman,2633,TRUE,FALSE,NA,NA,4/23/2015 23:13
"i only believe in the death penalty for people in front of me at chipotle who start their order with, ""umm, let's see...""",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",67VERONICA85,0,FALSE,FALSE,NA,NA,4/23/2015 23:12
@_agapanthus tbt chipotle,FALSE,0,_agapanthus,23-Apr-15,FALSE,5.91E+17,5.91E+17,994088569,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pokemon_1997,0,FALSE,FALSE,NA,NA,4/23/2015 23:11
"RT @kendallWBIR: No price is too high for Chipotle. ""Is a burrito worth $20 to you? Chipotle will now deliver http://t.co/S7FxikyhkG http:/…",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EllaDorsey_WBIR,3,TRUE,FALSE,NA,NA,4/23/2015 23:08
@JakeJonesKFBB Wait... there really isn't a Chipotle there? How the hell do you survive?!,FALSE,0,JakeJonesKFBB,23-Apr-15,FALSE,5.91E+17,5.91E+17,256566638,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",7thInningSteph,0,FALSE,FALSE,NA,NA,4/23/2015 23:08
I've had chipotle on my mind all day.,FALSE,9,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RyanYouKnow,0,FALSE,FALSE,NA,NA,4/23/2015 23:06
CHIPOTLE IS GOING TO DELIVER Y'ALL,FALSE,3,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",elloradalyn,0,FALSE,FALSE,NA,NA,4/23/2015 23:06
RT @praisenya: I really want some chipotle,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_lysssaaa_,2,TRUE,FALSE,NA,NA,4/23/2015 23:06
"I devoured two chicken bowls with tomatoes, corn, sour cream, cheese and rice. I now love Chipotle!",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",orioleking08,0,FALSE,FALSE,NA,NA,4/23/2015 23:05
Chipotle delivers now and La Crosse doesn't even have a chipotle. Why.,FALSE,3,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",emartin951,0,FALSE,FALSE,NA,NA,4/23/2015 23:04
"Three days ago chipotle said this about our chipotle delivery service idea, today they announce delivery services http://t.co/L9rzw8dDJA",FALSE,31,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Andrew_G_3,5,FALSE,FALSE,NA,NA,4/23/2015 23:04
Chipotle will now deliver OMG thank you thank you <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>,FALSE,5,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SocialMia,0,FALSE,FALSE,NA,NA,4/23/2015 23:03
RT @NYDailyNews: Chipotle begins delivery service in some cities. http://t.co/VssnYa7IIt http://t.co/yLYjly3vt6,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",andywiszberger,80,TRUE,FALSE,NA,NA,4/23/2015 23:03
RT @Cosmopolitan: Chipotle is now delivering — YOUR PRAYERS HAVE FINALLY BEEN ANSWERED: http://t.co/IwrbtJfOFh http://t.co/DLCv3AmBs8,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",qb_kai,1355,TRUE,FALSE,NA,NA,4/23/2015 23:02
Got a job interview with Chipotle Tuesday,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",its_Dat_Loud,0,FALSE,FALSE,NA,NA,4/23/2015 23:01
"RT @lilyberriosss: chipotle started delivering, is this a dream??",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MOFOyamainhoe,3,TRUE,FALSE,NA,NA,4/23/2015 23:01
@JoeyBad__ I DO NOT LIE WHEN IT COMES TO CHIPOTLE. http://t.co/45jHyr5Gdt,FALSE,1,JoeyBad__,23-Apr-15,FALSE,5.91E+17,5.91E+17,2865508419,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Laffytaffykathy,0,FALSE,FALSE,NA,NA,4/23/2015 23:00
CHIPOTLE DELIVERS WHAAAAAAAT,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nicoleblanco_,0,FALSE,FALSE,NA,NA,4/23/2015 23:00
RT @frenchwendia: “@NYDailyNews: Chipotle begins delivery service in some cities. http://t.co/a1SQuIa2kb http://t.co/6BhvpT885b” it’s litttt,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Leighanne_SKYE,2,TRUE,FALSE,NA,NA,4/23/2015 22:59
"RT @salemmitchell: Today I found out Chipotle makes more money than the President, HOW YA FEEL @BarackObama",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",foolsousmane,33,TRUE,FALSE,NA,NA,4/23/2015 22:58
SHE BOUGHT ME CHIPOTLE OMG @jjconchas24,FALSE,1,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",emmieahnn,1,FALSE,FALSE,NA,NA,4/23/2015 22:57
How far is chipotle's new delivering radius ?!?!?!?,FALSE,1,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NicoleCaminiti,1,FALSE,FALSE,NA,NA,4/23/2015 22:57
I just took a bitch to eat at chipotle.,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_chrisdmac,0,FALSE,FALSE,NA,NA,4/23/2015 22:57
RT @alexismirza: FYI CHIPOTLE'S GOING TO START DELIVERING,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lindsayallann,2,TRUE,FALSE,NA,NA,4/23/2015 22:54
"RT @efarrell42: Taco bell delivers, chipotle is now delivering, what a great time to be alive",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LoveRedeemedMe_,28,TRUE,FALSE,NA,NA,4/23/2015 22:54
"THOT FOOD: HOT CHEETOS, CHIPOTLE AND DICK.",FALSE,13,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VH1PNUT_,15,FALSE,FALSE,NA,NA,4/23/2015 22:53
"Chipotle delivers now, WOW IM ACTUALLY SO HYPE.",FALSE,1,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mEndes0mg,0,FALSE,FALSE,NA,NA,4/23/2015 22:50
Chipotle is the key to my heart,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shannon_demonia,5,FALSE,FALSE,NA,NA,4/23/2015 22:48
You're just mad I didn't go to chipotle @pepperonichaser  https://t.co/9FzhOwe7UM,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AllySeeAllyDo,0,FALSE,FALSE,NA,NA,4/23/2015 22:45
RT @shea_jordan: why would you get chipotle delivered. that makes no sense. how are you supposed to finesse the extra chicken and guacamole.,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TSSwanted,3,TRUE,FALSE,NA,NA,4/23/2015 22:42
Photo: Barbacoa (at Chipotle) http://t.co/shQPhIjDfD,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>",wjvelasco,0,FALSE,FALSE,NA,NA,4/23/2015 22:40
RT @sarahlechner_: the day has come.. Chipotle now does home delivery,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",faithhinson6,6,TRUE,FALSE,NA,NA,4/23/2015 22:40
RT @ChipotleTweets: Special delivery. Read all about it! Chipotle and @Postmates http://t.co/hjVxXjQSf5 -Joe,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Valair01,520,TRUE,FALSE,NA,NA,4/23/2015 22:38
RT @feez26: I could go for chipotle and a massage rn,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jordynhoak,2,TRUE,FALSE,NA,NA,4/23/2015 22:37
Chipotle gotta chill bruh https://t.co/HEQjA4HQhI,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",94Finest,0,FALSE,FALSE,NA,NA,4/23/2015 22:34
RT @OnThe__DL: Thinking I need some chipotle in my life,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",poshjeavey28,2,TRUE,FALSE,NA,NA,4/23/2015 22:34
RT @KennyDucey: This lady just tried to cut the line at Chipotle. I Mutombo'd her.,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",naapstermaan,6,TRUE,FALSE,NA,NA,4/23/2015 22:34
"RT @matthew_klein: Chipotle will now deliver, but it will cost you: http://t.co/jpuvrw2gsd",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jimber_,4,TRUE,FALSE,NA,NA,4/23/2015 22:33
RT @PasteMagazine: .@Chipotle will now offer a delivery service http://t.co/9m27z8q0Rv http://t.co/rwYKlgKaZT,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",thedfordinator,62,TRUE,FALSE,NA,NA,4/23/2015 22:33
"RT @SportsTaxMan: #Chipotle will now deliver to you, for a price http://t.co/yOeTCDusvD h/t @NBCSportsRoc",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",w3ll22,16,TRUE,FALSE,NA,NA,4/23/2015 22:33
RT @Flocka_Waalzz7: I want chipotle <ed><U+00A0><U+00BD><ed><U+00B8><U+0093>,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JamesBond_90z,1,TRUE,FALSE,NA,NA,4/23/2015 22:33
Forever wondering if Chipotle chips are made with lime or nah,FALSE,2,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",paigehabes,0,FALSE,FALSE,NA,NA,4/23/2015 22:32
"RT @Cosmopolitan: Chipotle Is Now Delivering, So You Literally Never Need to Leave Your Couch Anymore http://t.co/dJ5WiBL85k http://t.co/Qm…",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Di_Renegade,2325,TRUE,FALSE,NA,NA,4/23/2015 22:32
"RT @KING5Seattle: 2015: The year of burrito delivery. 

Chipotle starts door-to-door service: http://t.co/4KXOO31XeR",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1xLatina7,24,TRUE,FALSE,NA,NA,4/23/2015 22:31
"RT @seventeen: CHIPOTLE IS NOW DELIVERING! WE REPEAT, CHIPOTLE IS NOW DELIVERING  http://t.co/1118piOkEZ http://t.co/c0tR90t8X4",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JDBsPrincess_,489,TRUE,FALSE,NA,NA,4/23/2015 22:30
Chipotle delivers now. I'm glad I could make your day,FALSE,2,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JosiahCafiero,2,FALSE,FALSE,NA,NA,4/23/2015 22:30
Onto my third interview for chipotle :-),FALSE,2,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",main_streams,0,FALSE,FALSE,NA,NA,4/23/2015 22:30
RT @SPObabbby: Everyone freaking out that Chipotle now delivers and I'm over here like... Panera is better ¯\_(<U+30C4>)_/¯,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iMrOreos,183,TRUE,FALSE,NA,NA,4/23/2015 22:28
Chipotle is gonna find me rn .,FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alwayskira_,0,FALSE,FALSE,NA,NA,4/23/2015 22:27
"RT @Madison_VCheer: COME SUPPORT MADISON CHEER! Tuesday, April 28th from 4:30-8:30 at the Balboa Chipotle!! See you all there!! http://t.co…",FALSE,0,NA,23-Apr-15,FALSE,NA,5.91E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_nalahh,4,TRUE,FALSE,NA,NA,4/23/2015 22:25
